latitude,longitude
24.753263,120.907409
24.752812,120.907201
24.752671,120.907134
24.752089,120.906841
24.75783,120.910708
24.760352,120.911963
24.761142,120.912366
24.762072,120.91286
24.763099,120.908722
24.752643,120.905395
24.748675,120.924808
24.749802,120.924203
24.750154,120.924192
24.750435,120.924186
24.752427,120.92323
24.7569,120.92304
24.758202,120.921218
24.759784,120.920135
24.760694,120.918501
24.762533,120.917201
24.762976,120.917079
24.763285,120.916768
24.763608,120.916213
24.766748,120.916305
24.767516,120.915766
24.767126,120.915535
24.765062,120.914368
24.764879,120.914244
24.764308,120.913966
24.763254,120.913424
24.767677,120.915859
24.768825,120.916485
24.773234,120.917793
24.777668,120.918502
24.778069,120.918556
24.778223,120.918591
24.778855,120.91475
24.778707,120.914722
24.763626,120.906476
24.763809,120.906048
24.764095,120.905642
24.763604,120.905269
24.754908,120.940434
24.756222,120.942719
24.75846,120.943306
24.758921,120.943962
24.758154,120.947413
24.757844,120.947744
24.757635,120.948808
24.757867,120.950128
24.757518,120.950706
24.756937,120.952379
24.756804,120.952445
24.755699,120.952743
24.755389,120.952796
24.756739,120.952238
24.75665,120.952054
24.755778,120.951196
24.755524,120.950967
24.755579,120.94965
24.756122,120.949926
24.781595,120.919269
24.783507,120.919685
24.784699,120.920503
24.785304,120.921606
24.787367,120.926477
24.788252,120.928618
24.759759,120.943008
24.764004,120.942642
24.765695,120.940924
24.767266,120.938746
24.769525,120.937949
24.772526,120.934153
24.774299,120.932853
24.775416,120.931818
24.779633,120.931835
24.78114,120.932585
24.7827,120.932892
24.784375,120.931393
24.778417,120.939691
24.783457,120.915695
24.785628,120.916557
24.793778,120.919461
24.788815,120.929982
24.790973,120.937756
24.791256,120.939012
24.791431,120.939473
24.792268,120.941807
24.792478,120.942356
24.793772,120.945615
24.79438,120.947198
24.79467,120.947847
24.794936,120.94845
24.795134,120.948821
24.796526,120.952426
24.79654,120.952572
24.80058,120.953947
24.801455,120.950394
24.800063,120.950173
24.800141,120.949853
24.798492,120.949552
24.798628,120.949604
24.79841,120.949293
24.79925,120.95064
24.799679,120.951459
24.799465,120.952256
24.799343,120.952758
24.783497,120.953959
24.783418,120.953832
24.783415,120.954037
24.78333,120.953923
24.782485,120.954575
24.782648,120.954673
24.774672,120.953429
24.774605,120.953625
24.766393,120.955315
24.759836,120.958312
24.760501,120.959841
24.759669,120.958911
24.799674,120.945628
24.798391,120.944557
24.797973,120.943985
24.797213,120.942213
24.796596,120.941775
24.796473,120.941563
24.796152,120.940843
24.79933,120.944406
24.798389,120.941759
24.798944,120.941546
24.800734,120.940919
24.797538,120.940404
24.795219,120.941513
24.793806,120.941946
24.795981,120.947872
24.795111,120.948368
24.796325,120.939535
24.79643,120.937748
24.796451,120.936119
24.795331,120.93322
24.793857,120.932477
24.792183,120.932387
24.797338,120.947096
24.796469,120.94481
24.796753,120.945483
24.791835,120.931624
24.792183,120.928004
24.791912,120.927468
24.790546,120.923868
24.792777,120.921428
24.79385,120.924541
24.792812,120.924256
24.792618,120.924841
24.804144,120.925422
24.805351,120.938059
24.801046,120.940581
24.807918,120.922064
24.812583,120.921995
24.82442,120.927222
24.823324,120.927154
24.821244,120.92701
24.818026,120.928996
24.81755,120.929008
24.818833,120.924425
24.817287,120.923531
24.814252,120.922585
24.812592,120.921996
24.820419,120.918179
24.796567,120.955188
24.797658,120.956057
24.797887,120.956223
